Name [displayName] Required,User name [userPrincipalName] Required,Initial password [passwordProfile] Required,Account enabled (true/false) [accountEnabled],First name [givenName],Last name [surname],Job title [jobTitle],Department [department],Usage location [usageLocation],Street address [streetAddress],State or province [state],Country or region [country],Office [officeLocation],City [city],ZIP or postal code [postalCode],Business phone [businessPhones],Mobile phone [mobilePhone]
Avery Mitchell,avery.mitchell@toleboy.org,CHANGE-ME-001!,true,Avery,Mitchell,Owner,Executive,US,,,United States,,,,,
Jordan Reed,jordan.reed@toleboy.org,CHANGE-ME-001!,true,Jordan,Reed,IT Manager,IT,CA,,,Canada,,,,,
Maya Collins,maya.collins@toleboy.org,CHANGE-ME-001!,true,Maya,Collins,Systems Administrator,IT,GB,,,United Kingdom,,,,,
Ethan Brooks,ethan.brooks@toleboy.org,CHANGE-ME-001!,true,Ethan,Brooks,Help Desk Technician,IT,DE,,,Germany,,,,,
Sofia Bennett,sofia.bennett@toleboy.org,CHANGE-ME-001!,true,Sofia,Bennett,Finance Specialist,Finance,US,,,United States,,,,,
Caleb Morgan,caleb.morgan@toleboy.org,CHANGE-ME-001!,true,Caleb,Morgan,Payroll Specialist,Finance,CA,,,Canada,,,,,
Nina Foster,nina.foster@toleboy.org,CHANGE-ME-001!,true,Nina,Foster,Invoicing Specialist,Finance,GB,,,United Kingdom,,,,,
Liam Parker,liam.parker@toleboy.org,CHANGE-ME-001!,true,Liam,Parker,Sales Manager,Sales,DE,,,Germany,,,,,
Chloe Turner,chloe.turner@toleboy.org,CHANGE-ME-001!,true,Chloe,Turner,Account Executive,Sales,US,,,United States,,,,,
Marcus Hayes,marcus.hayes@toleboy.org,CHANGE-ME-001!,true,Marcus,Hayes,Sales Representative,Sales,CA,,,Canada,,,,,
Layla Carter,layla.carter@toleboy.org,CHANGE-ME-001!,true,Layla,Carter,Business Development Representative,Sales,GB,,,United Kingdom,,,,,
Grace Watson,grace.watson@toleboy.org,CHANGE-ME-001!,true,Grace,Watson,HR Manager,HR,DE,,,Germany,,,,,
Noah Ellis,noah.ellis@toleboy.org,CHANGE-ME-001!,true,Noah,Ellis,HR Specialist,HR,US,,,United States,,,,,
Owen Grant,owen.grant@toleboy.org,CHANGE-ME-001!,true,Owen,Grant,IT Contractor,Contractors,CA,,,Canada,,,,,
Zoe Riley,zoe.riley@toleboy.org,CHANGE-ME-001!,true,Zoe,Riley,Sales Contractor,Contractors,GB,,,United Kingdom,,,,,
